"title";"issuer";"issueDate";"expiryDate";"credentialId";"credLinkLinkedIn";"credLinkDest"
"Google UX Design";"Google";"Oct 2025";"";"W6UBQK36G8KE";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Fspecialization%2FW6UBQK36G8KE&urlhash=B2rL&isSdui=true";"https://www.coursera.org/account/accomplishments/specialization/W6UBQK36G8KE"
"Google Data Analytics";"Google";"Oct 2025";"";"MAST3I408LMG";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Fspecialization%2FMAST3I408LMG&urlhash=PLuS&isSdui=true";"https://www.coursera.org/account/accomplishments/specialization/MAST3I408LMG"
"Share Data Through the Art of Visualization";"Google";"Oct 2025";"";"L7CPWQUFLQTW";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Fverify%2FL7CPWQUFLQTW&urlhash=p35t&isSdui=true";"https://www.coursera.org/account/accomplishments/verify/L7CPWQUFLQTW"
"Data Analysis with R Programming";"Google";"Oct 2025";"";"SBKSBDDHAOJ7";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FSBKSBDDHAOJ7&urlhash=8pr1&isSdui=true";"https://www.coursera.org/account/accomplishments/records/SBKSBDDHAOJ7"
"Analyze Data to Answer Questions";"Google";"Oct 2025";"";"CIP3HEFCEENC";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FCIP3HEFCEENC&urlhash=tkOC&isSdui=true";"https://www.coursera.org/account/accomplishments/records/CIP3HEFCEENC"
"Process Data from Dirty to Clean";"Google";"Oct 2025";"";"5K6S7IYJMHB9";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2F5K6S7IYJMHB9&urlhash=mrEY&isSdui=true";"https://www.coursera.org/account/accomplishments/records/5K6S7IYJMHB9"
"Ask Questions to Make Data-Driven Decisions";"Google";"Oct 2025";"";"V5S9BFCIRUX4";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FV5S9BFCIRUX4&urlhash=hYSM&isSdui=true";"https://www.coursera.org/account/accomplishments/records/V5S9BFCIRUX4"
"Introduction to Security Principles in Cloud Computing";"Google Cloud Security";"Oct 2025";"";"TIFJWHIVN4HF";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FTIFJWHIVN4HF&urlhash=vIcO&isSdui=true";"https://www.coursera.org/account/accomplishments/records/TIFJWHIVN4HF"
"Specializzazione Google Cybersecurity";"Google";"Oct 2025";"";"T9RO89ICIV6A";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Fspecialization%2FT9RO89ICIV6A&urlhash=nQCC&isSdui=true";"https://www.coursera.org/account/accomplishments/specialization/T9RO89ICIV6A"
"Automate Cybersecurity Tasks with Python";"Google";"Oct 2025";"";"US754DH25TD2";"https://www.linkedin.com/redir/redirect/?url=https%3A%2F%2Fwww%2Ecoursera%2Eorg%2Faccount%2Faccomplishments%2Frecords%2FUS754DH25TD2&urlhash=LU-o&isSdui=true";"https://www.coursera.org/account/accomplishments/records/US754DH25TD2"
